customer_s1,customer_s1_node,customer_s1_Szabi,customer_optima,customer_sap,customer_da,customer_norm,country
a1,1,AUCHAN POLAND [2000422074],c1,b1,d1,Auchan,Poland
a2,2,Ahold Czech Rep.,c2,b2,d2,Ahold,Czech Republic
a3,3,Aldi Hungary,c3,b3,d3,Aldi,Hungary
a4,4,ALDI POLAND [2002586963],c4,b4,d4,Aldi,Poland
a5,5,Auchan Hungary,c5,b5,d5,Auchan,Hungary
a6,6,AUCHAN POLAND [2000422074],c6,b6,d6,Auchan,Poland
a7,7,BALTIC LOGISTIC SOLUTIONS [2002785938],c7,b7,d7,Sanitex,EE
a8,8,Billa Croatia,c8,b8,d8,Billa,Croatia
a9,9,Billa Czech Rep.,c9,b9,d9,Billa,Czech Republic
a10,10,"Billa, s.r.o Slovak Rep.",c10,b10,d10,Billa,Slovakia
a11,11,CARREFOUR POLAND [2000551514],c11,b11,d11,Carrefour,Poland
a12,12,Drogerie Markt Croatia,c12,b12,d12,DM,Croatia
a13,13,Drogerie Markt Czech Rep.,c13,b13,d13,DM,Czech Republic
a14,14,Drogerie Markt Hungary,c14,b14,d14,DM,Hungary
a15,15,Drogerie Markt Slovak Rep.,c15,b15,d15,DM,Slovakia
a16,16,Esa Logistika s.r.o. Slovak Re,c16,b16,d16,ESA Logistika,Slovakia
a17,17,Globus Czech Rep.,c17,b17,d17,Globus,Czech Republic
a18,18,GLYNN AESTHETICS CZECH REPUBLI,c18,b18,d18,Glynn,Czech Republic
a19,19,HEBE POLAND [2002685311],c19,b19,d19,Hebe,Poland
a20,20,Kaufland Croatia,c20,b20,d20,Kaufland,Croatia
a21,21,Kaufland Czech Rep.,c21,b21,d21,Kaufland,Czech Republic
a22,22,KAUFLAND POLAND MARKETY [2000571507],c22,b22,d22,Kaufland,Poland
a23,23,Kaufland Slovak Rep.,c23,b23,d23,Kaufland,Slovakia
a24,24,Konzum Croatia,c24,b24,d24,Konzum,Croatia
a25,25,Krajcik Emil Slovak Rep.,c25,b25,d25,Krajcik,Slovakia
a26,26,LE CLERC POLAND [2000519165],c26,b26,d26,Leclerc,Poland
a27,27,Lidl Croatia,c27,b27,d27,Lidl,Croatia
a28,28,Lidl Hungary,c28,b28,d28,Lidl,Hungary
a29,29,LIDL POLAND [2001640174],c29,b29,d29,Lidl,Poland
a30,30,Makro Czech Rep.,c30,b30,d30,Makro,Czech Republic
a31,31,MAKRO POLAND [2000341202],c31,b31,d31,Makro,Poland
a32,32,Metro Croatia,c32,b32,d32,Metro,Croatia
a33,33,Metro Hungary,c33,b33,d33,Metro,Hungary
a34,34,Metro Slovak Rep.,c34,b34,d34,Metro,Slovakia
a35,35,Muller Drogeria Hungary,c35,b35,d35,Muller,Hungary
a36,36,NAVO POLAND DISTRIBUTOR [2000561397],c36,b36,d36,Navo,Poland
a37,37,Orbico Croatia,c37,b37,d37,Orbico,Croatia
a38,38,Orbico Hungary,c38,b38,d38,Orbico,Hungary
a39,39,Orbico Slovenia,c39,b39,d39,Orbico,Slovenia
a40,40,P.P.H. PARYS SP. ZO.O. [2002325421],c40,b40,d40,P.P.H. PARYS,Poland
a41,41,Penny Market Czech Rep.,c41,b41,d41,Penny,Czech Republic
a42,42,Penny Market Hungary,c42,b42,d42,Penny,Hungary
a43,43,PK Solvent Czech Rep.,c43,b43,d43,PK Solvent,Czech Republic
a44,44,PK Solvent Slovak Rep.,c44,b44,d44,PK Solvent,Slovakia
a45,45,PMI POLAND [2000876714],c45,b45,d45,PMI,Poland
a46,46,POLBITA [2001375924],c46,b46,d46,Polbita,Poland
a47,47,POLOMARKET [2001667636],c47,b47,d47,Polomarket,Poland
a48,48,Rossmann Czech Rep.,c48,b48,d48,Rossmann,Czech Republic
a49,49,Rossmann Hungary,c49,b49,d49,Rossmann,Hungary
a50,50,ROSSMANN POLAND [2000410801],c50,b50,d50,Rossmann,Poland
a51,51,SANITEX ESTONIA [2002730421],c51,b51,d51,Sanitex,EE
a52,52,SANITEX LITHUANIA [2002730423],c52,b52,d52,Sanitex,EE
a53,53,SELGROS POLAND [2000341203],c53,b53,d53,Selgros,Poland
a54,54,Spar Croatia,c54,b54,d54,Spar,Croatia
a55,55,Spar Hungary,c55,b55,d55,Spar,Hungary
a56,56,TARKON [2002103008],c56,b56,d56,Tarkon,Poland
a57,57,Tesco Czech Rep.,c57,b57,d57,Tesco,Czech Republic
a58,58,Tesco Hungary,c58,b58,d58,Tesco,Hungary
a59,59,TESCO POLAND [2000438544],c59,b59,d59,Tesco,Poland
a60,60,Tesco Slovak Rep.,c60,b60,d60,Tesco,Slovakia
a61,61,Hruska spol. s.r.o. CZ,c61,b61,d61,Hruska,Czech Republic
a62,62,BLS ESTONIA [2002836363],c62,b62,d62,Sanitex,EE
a63,63,Alza Czech Rep.,c63,b63,d63,PK Solvent,Czech Republic
a64,64,JAS-FBG [2002846668],c64,b64,d64,Feedo,Poland
a65,65,UNKNOWN CBD ORGANIZATION,c65,b65,d65,Tesco,Hungary
a66,66,FEEDO SP Z O.O. [2002846652],c66,b66,d66,Feedo,Poland
a67,67,Lidl Slovak Rep.,c67,b67,d67,Lidl,Slovakia
a68,68,Bipa Croatia,c68,b68,d68,Bipa,Croatia
a69,69,Lidl Czech Rep.,c69,b69,d69,Lidl,Czech Republic
a70,70,DC6 ALLEGRO [2002893448],c70,b70,d70,Allegro,Poland
a71,71,DSV SOLUTIONS SP. Z O. O. [2002897876],c71,b71,d71,DSV,Poland
a72,72,Feedo Czech Rep.,c72,b72,d72,Feedo,Czech Republic
a73,73,Mall Czech Rp.,c73,b73,d73,Mall,Czech Republic
a74,74,A&D PHARMA POLAND SP. Z O.O. [2002778431],c74,b74,d74,A&D Pharma,Poland
a75,75,BIEDRONKA POLAND JERONIMO MART [2000849596],c75,b75,d75,Biedronka,Poland
a76,76,Barvy a Laky Czech Rep,c76,b76,d76,Other,Czech Republic
a77,77,Rohlik Czech Rep.,c77,b77,d77,Other,Czech Republic
a78,78,SEIFERT POLSKA [2002918305],c78,b78,d78,Other,Poland
